Transaction date,Transaction,Name,Memo,Amount
4/27/2022,DEBIT,CASH INTEREST,,-1.06
4/25/2022,DEBIT,T&T SUPERMARKET #008 COQUITLAM B,Rewards earned: 0.08 ~ Category: Groceries,-4.04
4/22/2022,CREDIT,PREAUTHORIZED PAYMENT,,1011.36
4/22/2022,DEBIT,MATCHSTICK COFFEE ROAS VANCOUVER,Rewards earned: 0.17 ~ Category: Restaurant,-8.4
4/22/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.45 ~ Category: Gas,-90.32
4/22/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.74 ~ Category: Other,-347.4
4/19/2022,DEBIT,CASH ADVANCE FEE,,-5
4/19/2022,DEBIT,K PLAYA MARLIN CANCUN QROO QR ME,Rewards earned: 0.02 ~ Category: Other,-3.97
4/19/2022,DEBIT,MISCE FRIEND MARIN REY BENITO JU,Rewards earned: 1.41 ~ Category: Groceries,-70.71
4/19/2022,DEBIT,MISCE FRIEND MARIN REY BENITO JU,Rewards earned: 0.37 ~ Category: Groceries,-18.74
4/19/2022,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.53
4/18/2022,DEBIT,CASH ADVANCE FEE,,-5
4/18/2022,DEBIT,CASH ADVANCE FEE,,-5
4/18/2022,DEBIT,GORYACOS BENITO JUAREZ MEX,Rewards earned: 0.40 ~ Category: Restaurant,-20.04
4/18/2022,DEBIT,TORRES ESCENICAS BENITO JUAREZ M,Rewards earned: 0.13 ~ Category: Entertainment,-25.83
4/18/2022,DEBIT,HSBC MEXICO BENITO JUARE,,-18.78
4/18/2022,DEBIT,MY FRIEND NAUTILUS BENITO JUAREZ,Rewards earned: 0.06 ~ Category: Groceries,-2.94
4/17/2022,DEBIT,FARM PAYLESS AQUAFUN CANCUN QROO,Rewards earned: 0.05 ~ Category: Drug Store,-10.06
4/17/2022,DEBIT,FARM PAYLESS AQUAFUN CANCUN QROO,Rewards earned: 0.16 ~ Category: Drug Store,-31.71
4/17/2022,DEBIT,REST EL DON BENITO JUAREZ MEX,Rewards earned: 0.35 ~ Category: Restaurant,-17.52
4/17/2022,DEBIT,INAH 812316MMAY10 BENITO JUAREZ ,Rewards earned: 0.03 ~ Category: Entertainment,-5.51
4/16/2022,DEBIT,F AHORRO CNB2 PZA BONI BENITO JU,Rewards earned: 0.02 ~ Category: Drug Store,-4.74
4/16/2022,DEBIT,HAVANA CIGAR HOUSE TAB ISLA MUJE,Rewards earned: 0.11 ~ Category: Other,-21.73
4/16/2022,DEBIT,YZA CAN MERCADO 28 BENITO JUAREZ,Rewards earned: 0.01 ~ Category: Drug Store,-1.62
4/15/2022,DEBIT,LA LUNA CABANAS TULUM MEX MEX,Rewards earned: 2.54 ~ Category: Restaurant,-126.8
4/14/2022,DEBIT,HSBC MEXICO BENITO JUARE,,-105.82
4/14/2022,DEBIT,HSBC MEXICO BENITO JUARE,,-18.76
4/14/2022,DEBIT,TATTOOARTE SOLIDARIDAD Q MEX,Rewards earned: 0.15 ~ Category: Other,-29.38
4/9/2022,DEBIT,PORTLAND CRAFT VANCOUVER BC,Rewards earned: 0.99 ~ Category: Restaurant,-49.43
4/6/2022,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.16 ~ Category: Groceries,-8.18
4/5/2022,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.35 ~ Category: Groceries,-17.37
4/4/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.06 ~ Category: Other,-211.56
4/2/2022,DEBIT,HOME RESTAURANT STR 1 HOPE BC,Rewards earned: 0.63 ~ Category: Restaurant,-31.48
4/1/2022,DEBIT,VILLAGE OF NAKUSP HOT NAKUSP BC,Rewards earned: 0.06 ~ Category: Other,-11
3/31/2022,DEBIT,LA BAGUETTE CATERING REVELSTOKE ,Rewards earned: 0.14 ~ Category: Restaurant,-7.02
3/31/2022,DEBIT,LA BAGUETTE CATERING REVELSTOKE ,Rewards earned: 0.08 ~ Category: Restaurant,-3.9
3/31/2022,DEBIT,LA BAGUETTE CATERING REVELSTOKE ,Rewards earned: 0.20 ~ Category: Restaurant,-10.24
3/30/2022,DEBIT,REVY OUTDOORS REVELSTOKE BC,Rewards earned: 0.58 ~ Category: Other,-116.42
3/29/2022,DEBIT,THE TACO CLUB REVELSTOKE BC,Rewards earned: 0.42 ~ Category: Restaurant,-21.06
