Transaction date,Transaction,Name,Memo,Amount
8/24/2022,CREDIT,PREAUTHORIZED PAYMENT,,2593.15
8/20/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 2.56 ~ Category: Other,-511.89
8/15/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.08 ~ Category: Other,-216.58
8/14/2022,DEBIT,NOFRILLS DENNIS' #3968 COQUITLAM,Rewards earned: 1.93 ~ Category: Groceries,-96.74
8/13/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 2.22 ~ Category: Other,-444.71
8/13/2022,DEBIT,BEAN AROUND THE WORLD VANCOUVER ,Rewards earned: 0.22 ~ Category: Restaurant,-10.95
8/10/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 2.06 ~ Category: Other,-411.39
8/6/2022,DEBIT,DISCOVERY COFFEE JAMES VICTORIA ,Rewards earned: 0.15 ~ Category: Restaurant,-7.73
8/6/2022,DEBIT,BLUE FOX CAFE LTD VICTORIA BC,Rewards earned: 1.46 ~ Category: Restaurant,-73.03
8/3/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 2.61 ~ Category: Other,-522.27
8/2/2022,DEBIT,NOFRILLS DENNIS' #3968 COQUITLAM,Rewards earned: 2.00 ~ Category: Groceries,-100.17
7/30/2022,DEBIT,SUSHI NARA ABBOTSFORD BC,Rewards earned: 0.94 ~ Category: Restaurant,-47.09
