Transaction date,Transaction,Name,Memo,Amount
5/27/2022,DEBIT,CASH INTEREST,,-2.04
5/26/2022,DEBIT,WAVES COFFEE COQ CTRE COQUITLAM ,Rewards earned: 0.25 ~ Category: Restaurant,-12.55
5/25/2022,DEBIT,MOMIJIAN JAPANESE CUIS NORTH VAN,Rewards earned: 0.53 ~ Category: Restaurant,-26.72
5/24/2022,CREDIT,PREAUTHORIZED PAYMENT,,1497.07
5/24/2022,DEBIT,CITY VANCOUVER PARKING 360487848,Rewards earned: 0.02 ~ Category: Parking,-3.42
5/21/2022,DEBIT,PRTLND PARKS PARKINGKI 503-82325,Rewards earned: 0.01 ~ Category: Parking,-1.45
5/21/2022,DEBIT,PORTLAND PARKING KITTY 503-82340,Rewards earned: 0.01 ~ Category: Parking,-1.58
5/19/2022,DEBIT,GLEN PHARMACY COQUITLAM BC,Rewards earned: 0.08 ~ Category: Drug Store,-15.8
5/19/2022,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.67
5/17/2022,DEBIT,THE BIKE DOCTOR VANCOUVER BC,Rewards earned: 0.51 ~ Category: Other,-102.89
5/15/2022,DEBIT,MOMIJIAN JAPANESE CUIS NORTH VAN,Rewards earned: 0.15 ~ Category: Restaurant,-7.25
5/15/2022,DEBIT,WAVES COFFEE COQ CTRE COQUITLAM ,Rewards earned: 0.09 ~ Category: Restaurant,-4.67
5/15/2022,DEBIT,WAVES COFFEE COQ CTRE COQUITLAM ,Rewards earned: 0.08 ~ Category: Restaurant,-4.05
5/14/2022,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.43 ~ Category: Groceries,-21.28
5/11/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.48 ~ Category: Gas,-96.94
5/11/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.22 ~ Category: Other,-244.92
5/6/2022,DEBIT,HIRAKU SUSHI COQUITLAM BC,Rewards earned: 0.84 ~ Category: Restaurant,-42.09
5/2/2022,DEBIT,SEWAK'S NO FRILLS STOR PT-COQUIT,Rewards earned: 1.92 ~ Category: Groceries,-95.98
5/2/2022,DEBIT,SEWAK'S NO FRILLS STOR PT-COQUIT,Rewards earned: 0.38 ~ Category: Groceries,-19.06
