Transaction date,Transaction,Name,Memo,Amount
12/24/2021,CREDIT,PREAUTHORIZED PAYMENT,,3046.69
12/22/2021,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.09 ~ Category: Gas,-18.99
12/22/2021,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.59 ~ Category: Other,-317.1
12/20/2021,DEBIT,T&T SUPERMARKET #008 COQUITLAM B,Rewards earned: 0.40 ~ Category: Groceries,-20.08
12/20/2021,DEBIT,PEAKED PIES VANCOUVER BC,Rewards earned: 0.15 ~ Category: Groceries,-7.3
12/20/2021,DEBIT,PEAKED PIES VANCOUVER BC,Rewards earned: 0.30 ~ Category: Groceries,-14.86
12/19/2021,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.66
12/16/2021,DEBIT,CAZBA RESTAURANT VANCOUVER BC,Rewards earned: 1.23 ~ Category: Restaurant,-61.61
12/6/2021,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.10 ~ Category: Gas,-20.83
12/6/2021,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.41 ~ Category: Other,-281.35
12/1/2021,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.15 ~ Category: Gas,-29.48
