Transaction date,Transaction,Name,Memo,Amount
6/25/2022,DEBIT,TAIGA WORKS VANCOUVER BC,Rewards earned: 5.64 ~ Category: Other,-1128.68
6/25/2022,DEBIT,BEAN AROUND THE WORLD VANCOUVER ,Rewards earned: 0.15 ~ Category: Restaurant,-7.6
6/25/2022,DEBIT,LS DENMAN BIKES VANCOUVER BC,Rewards earned: 0.14 ~ Category: Other,-27.99
6/24/2022,CREDIT,PREAUTHORIZED PAYMENT,,711.36
6/19/2022,DEBIT,HOPCOTT PREMIUM MEATS PITT MEADO,Rewards earned: 0.13 ~ Category: Other,-25.89
6/18/2022,DEBIT,HOPCOTT PREMIUM MEATS PITT MEADO,Rewards earned: 0.07 ~ Category: Other,-14.36
6/15/2022,DEBIT,WESTWOOD TOTAL HEALTH COQUITLAM ,Rewards earned: 0.55 ~ Category: Other,-110
6/15/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 0.52 ~ Category: Other,-104.9
6/9/2022,DEBIT,WESTWOOD TOTAL HEALTH COQUITLAM ,Rewards earned: 0.55 ~ Category: Other,-110
6/8/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 0.17 ~ Category: Other,-34.9
6/3/2022,DEBIT,CITY OF WHITE ROCK-PAR WHITE ROC,Rewards earned: 0.06 ~ Category: Other,-12
6/2/2022,DEBIT,WESTWOOD TOTAL HEALTH COQUITLAM ,Rewards earned: 0.55 ~ Category: Other,-110
5/31/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 0.73 ~ Category: Other,-145.95
5/30/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.63 ~ Category: Other,-325.89
5/26/2022,DEBIT,WESTWOOD TOTAL HEALTH COQUITLAM ,Rewards earned: 0.55 ~ Category: Other,-110
