Transaction date,Transaction,Name,Memo,Amount
3/24/2022,CREDIT,PREAUTHORIZED PAYMENT,,3316.07
3/21/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 0.95 ~ Category: Other,-190.79
3/19/2022,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.54
3/7/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.34 ~ Category: Gas,-67.61
3/7/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.30 ~ Category: Other,-259.23
3/2/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.44 ~ Category: Gas,-87.33
2/25/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.99 ~ Category: Other,-397.86
