Transaction date,Transaction,Name,Memo,Amount
11/25/2021,DEBIT,CAZBA RESTAURANT VANCOUVER BC,Rewards earned: 0.99 ~ Category: Restaurant,-49.47
11/24/2021,DEBIT,OK TIRE COQUITLAM BC,Rewards earned: 2.20 ~ Category: Other,-440.89
11/19/2021,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.53
11/13/2021,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.19 ~ Category: Other,-237.02
11/12/2021,DEBIT,IOCO ESSO 37872 PORT MOODY BC,Rewards earned: 0.03 ~ Category: Gas,-5
11/4/2021,DEBIT,SHIO JAPANESE KITCHEN COQUITLAM ,Rewards earned: 0.56 ~ Category: Restaurant,-27.77
11/2/2021,DEBIT,ABSOLUTLEY FLOORED PT-COQUITLAM ,Rewards earned: 9.47 ~ Category: Home Improvement,-1893.02
11/1/2021,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.92 ~ Category: Other,-384.99
10/30/2021,CREDIT,PAYMENT - THANK YOU,,1606.95
