Transaction date,Transaction,Name,Memo,Amount
1/24/2022,CREDIT,PREAUTHORIZED PAYMENT,,780.26
1/24/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.32 ~ Category: Gas,-64.41
1/24/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.44 ~ Category: Other,-288.18
1/19/2022,DEBIT,PIZZERIA SPACCA NAPOLI PORT MOOD,Rewards earned: 1.20 ~ Category: Restaurant,-60.2
1/19/2022,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.47
1/10/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.40 ~ Category: Gas,-80.35
1/10/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.57 ~ Category: Other,-313.98
1/8/2022,DEBIT,NOFRILLS DENNIS' #3968 COQUITLAM,Rewards earned: 0.08 ~ Category: Groceries,-3.75
1/3/2022,DEBIT,NORTH 60 PETRO ROUNDEL WHITEHORS,Rewards earned: 0.25 ~ Category: Gas,-49.97
1/2/2022,DEBIT,GOLD RUSH INN - BANQUE WHITEHORS,Rewards earned: 0.26 ~ Category: Hotel,-52.38
1/1/2022,DEBIT,WYKES Y.I.G. STORE 180 WHITEHORS,Rewards earned: 0.08 ~ Category: Groceries,-3.79
12/30/2021,DEBIT,MV CQ SOLID WASTE TRSF COQUITLAM,Rewards earned: 0.13 ~ Category: Other,-25
12/28/2021,DEBIT,PROVANT INTERNATIONAL COQUITLAM ,Rewards earned: 0.96 ~ Category: Groceries,-48.12
12/28/2021,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.16 ~ Category: Groceries,-7.81
